DATE,PRIMARY_TONNES,TONNES,DEV_TONNES,PROD_TONNES,BF_TONNES,REHANDLE_TONNES,REMOTE_TONNES,STOPE_STOCKPILE_TONNES,STOCKPILE_TRUCK_TONNES,SHIFT_COUNT,month,dayofmonth,quarter,dayofyear,weekofyear
2021-01-03,8751.67655018718,15976.681309170097,0.6,0.4,0.0,0.45,0.13,0.17,0.4,13,1.0,3.0,1.0,3.0,53.0
2021-01-10,27517.25631785048,40889.47621848752,0.59,0.41,0.0,0.33,0.12,0.17,0.3,32,1.0,10.0,1.0,10.0,1.0
2021-01-17,22838.153243198147,37747.15588907731,0.57,0.43,0.0,0.39,0.1,0.17,0.37,29,1.0,17.0,1.0,17.0,2.0
2021-01-24,22880.528620384113,42103.53435431284,0.5,0.49,0.01,0.46,0.14,0.21,0.43,32,1.0,24.0,1.0,24.0,3.0
2021-01-31,25793.256146336404,44613.81890074946,0.5,0.5,0.0,0.42,0.14,0.22,0.4,36,1.0,31.0,1.0,31.0,4.0
2021-02-07,23410.290762657725,38711.632691564686,0.61,0.39,0.0,0.4,0.1,0.16,0.39,29,2.0,7.0,1.0,38.0,5.0
2021-02-14,22674.445038261623,37907.937162035545,0.52,0.48,0.0,0.4,0.09,0.19,0.4,34,2.0,14.0,1.0,45.0,6.0
2021-02-21,25561.35180672361,38080.55451539117,0.59,0.41,0.0,0.33,0.05,0.03,0.32,35,2.0,21.0,1.0,52.0,7.0
2021-02-28,19211.80475794204,33859.815029216006,0.77,0.23,0.0,0.43,0.01,0.03,0.41,28,2.0,28.0,1.0,59.0,8.0
2021-03-07,23149.970806131703,39405.41230918938,0.61,0.39,0.0,0.41,0.02,0.11,0.4,34,3.0,7.0,1.0,66.0,9.0
2021-03-14,25572.7497956612,43964.90260315558,0.4,0.6,0.0,0.42,0.0,0.29,0.41,27,3.0,14.0,1.0,73.0,10.0
2021-03-21,31442.35485770816,51965.21771754731,0.39,0.61,0.0,0.39,0.0,0.24,0.39,35,3.0,21.0,1.0,80.0,11.0
2021-03-28,36110.57586512623,56525.07823368899,0.29,0.71,0.0,0.36,0.08,0.32,0.35,37,3.0,28.0,1.0,87.0,12.0
2021-04-04,30104.902360677013,48708.31980244326,0.43,0.57,0.0,0.38,0.06,0.26,0.37,36,4.0,4.0,2.0,94.0,13.0
2021-04-11,29742.56941536068,47879.430805295844,0.41,0.59,0.0,0.38,0.09,0.24,0.37,33,4.0,11.0,2.0,101.0,14.0
2021-04-18,26896.395289115753,46743.47680629414,0.39,0.61,0.0,0.42,0.16,0.23,0.41,36,4.0,18.0,2.0,108.0,15.0
2021-04-25,31344.92453989917,53167.04323581925,0.38,0.62,0.0,0.41,0.25,0.25,0.38,41,4.0,25.0,2.0,115.0,16.0
2021-05-02,31865.293865948996,56322.85581288809,0.31,0.69,0.0,0.43,0.28,0.29,0.41,41,5.0,2.0,2.0,122.0,17.0
