DATE,DRIVINGADVANCE,FACEHOLES,FACEMETRES,MACHINE_SHIFTS,MACHINE_COUNT,MACHINE_LOCATION_CHANGE_PER_SHIFT,OPERATOR_COUNT,STRIPPINGMETRES,CUT_CALENDAR_SHIFTS,DRILLSTEELLENGTH,HEADING_AREA,LOCS_LAST_7_DAYS,LOCS_NEXT_7_DAYS,SITE_CUT_ID,UGLOCATIONID,month,dayofmonth,quarter,dayofyear,weekofyear
2021-01-03,69.24460516400669,1107.416538912616,3875.9578861941563,56,28,41,37,170.33737945381492,667,4.385914299989082,31.086508727199384,13.368695038697066,14.011358893418402,19,13,1.0,3.0,1.0,3.0,53.0
2021-01-10,149.46824322879925,2366.4227068193413,8282.479473867694,89,58,64,66,408.6901424159473,574,4.247959918342285,28.90144895954724,13.144917089756293,15.62083053244258,44,18,1.0,10.0,1.0,10.0,1.0
2021-01-17,150.6863859149767,3186.072398382446,11051.884920159438,102,54,71,71,402.4848320166588,281,4.317600198400613,28.78863453428067,15.685771146013844,14.015243297638598,44,14,1.0,17.0,1.0,17.0,2.0
2021-01-24,129.12744342561732,1959.9570849884624,6859.8497974596185,80,49,52,60,761.5168260285448,120,4.287666288924254,29.06632859728733,13.652125546568252,13.371826184606618,38,14,1.0,24.0,1.0,24.0,3.0
2021-01-31,131.6125334057682,2536.096734142674,8809.282653513459,105,53,74,69,430.1964974411459,467,4.297940655283908,27.900126934677093,13.4993116515278,11.30139187290881,39,15,1.0,31.0,1.0,31.0,4.0
2021-02-07,151.03804737910082,2669.084025267472,9341.794088436152,77,54,55,64,222.95265216097022,271,4.264287311379046,27.86074431356809,10.839581735120994,14.152952285414209,44,12,2.0,7.0,1.0,38.0,5.0
2021-02-14,176.57836369836355,2845.20046189528,9932.14933900014,105,62,77,90,607.1882729350136,926,4.316809273080286,25.28082015237779,14.261386959724932,13.590719270628416,52,16,2.0,14.0,1.0,45.0,6.0
2021-02-21,168.29740124280468,2874.886636121544,10062.103226425405,89,56,62,73,428.5726981661385,480,4.3451069241535,25.200833817953082,13.536600659624026,15.012631695637884,48,16,2.0,21.0,1.0,52.0,7.0
2021-02-28,157.126810993202,2820.817796451822,9872.862287581376,100,56,72,77,862.5634897690601,950,4.328866525273321,26.68600272120127,14.397603060432015,17.318705668178573,46,17,2.0,28.0,1.0,59.0,8.0
2021-03-07,177.6089493310793,3152.0035210551077,10938.860307351963,103,64,78,84,242.60755360919254,619,4.314039899267511,27.070409407562924,17.083154415949057,16.28164137986738,51,18,3.0,7.0,1.0,66.0,9.0
2021-03-14,161.2397227778234,2825.9167549099006,9827.569642147912,104,56,79,82,674.6809769757692,1059,4.285583398399689,27.68771607000991,16.179504693536508,17.809798573897762,47,16,3.0,14.0,1.0,73.0,10.0
2021-03-21,182.8810471116898,2833.282361844248,9916.48826645487,128,64,97,101,956.4642967107695,807,4.281015125437283,27.355079231387336,17.568572545872023,18.97287031355039,55,23,3.0,21.0,1.0,80.0,11.0
2021-03-28,140.44302408340621,2789.698004977761,9763.943017422162,93,55,63,74,0.0,740,4.3136071682760475,27.031221774499357,18.923443401264482,16.58333786353864,40,17,3.0,28.0,1.0,87.0,12.0
2021-04-04,134.5853127235793,2114.277301640473,7399.9705557416555,83,51,59,71,375.7719782939726,312,4.243176840686571,26.817305123136897,17.01435114094902,18.953022214270426,40,19,4.0,4.0,2.0,94.0,13.0
2021-04-11,128.53650086730835,2398.4160578335964,8394.456202417588,94,46,73,67,403.6508905098225,808,4.298042641366599,25.002698147687614,18.691769425944962,21.346782081760544,38,18,4.0,11.0,2.0,101.0,14.0
2021-04-18,144.9853122938185,2182.997545980777,7575.7550173943955,115,57,82,79,1945.4811505496089,526,4.169957844045471,25.420972051959996,22.15125190963963,21.153634492282837,46,20,4.0,18.0,2.0,108.0,15.0
2021-04-25,173.78191385246458,2692.0138124014875,9359.180429897431,129,64,98,106,560.983781448215,1459,4.255847327306429,24.519285004260762,21.065959936760233,19.730884677734185,51,26,4.0,25.0,2.0,115.0,16.0
2021-05-02,193.55910028367649,3132.0810983073898,10962.283844075864,153,65,115,99,436.3221287997926,1078,4.323657824518488,24.32089006272707,19.615441988743925,16.27507925339427,55,21,5.0,2.0,2.0,122.0,17.0
2021-05-09,138.69112397269006,1874.733413764323,6561.56694817513,84,53,63,68,18.426832268132493,679,4.259798807732624,24.835427444288133,15.514888167641624,13.603564257052028,40,13,5.0,9.0,2.0,129.0,18.0
2021-05-16,163.36495979749728,2807.8372337286987,9762.994378513893,86,58,66,71,319.659058274998,231,4.20943293530038,23.196583435991762,13.670841911619583,15.74751305392406,49,15,5.0,16.0,2.0,136.0,19.0
2021-05-23,118.17248840373288,2260.74665595909,7912.613295856815,91,42,65,64,366.2930416182187,215,4.30704002017664,23.898161475630825,16.21256352099735,17.544876596376557,35,16,5.0,23.0,2.0,143.0,20.0
2021-05-30,126.26281439655988,2018.4843021344225,7064.695057470479,88,49,57,72,588.2364702701432,157,4.276283674609552,23.355016306460108,16.877285983781718,15.814691216708617,38,14,5.0,30.0,2.0,150.0,21.0
2021-06-06,113.67294802071353,1928.548912329748,6749.921193154118,91,44,64,67,505.16668804299786,383,4.191090269962606,23.294528867911552,15.95832424250827,15.224541274540636,35,16,6.0,6.0,2.0,157.0,22.0
2021-06-13,122.52533837340043,2016.3945105765538,7057.380787017938,91,46,63,68,128.7822296065101,273,3.928421561245506,23.502627000735682,15.824872144552481,12.85638641830257,35,15,6.0,13.0,2.0,164.0,23.0
