DATE,TKM,SHIFT_COUNT,TONNES_PER_LOAD,DISTANCE_PER_LOAD,month,dayofmonth,quarter,dayofyear,weekofyear
2021-01-03,16908.93791686787,12,52.9,1.8,1.0,3.0,1.0,3.0,53.0
2021-01-10,46544.846897135554,36,52.9,1.9,1.0,10.0,1.0,10.0,1.0
2021-01-17,41184.887145846325,38,52.9,2.1,1.0,17.0,1.0,17.0,2.0
2021-01-24,44290.983644926746,34,52.7,2.1,1.0,24.0,1.0,24.0,3.0
2021-01-31,49659.09102245699,38,52.6,2.0,1.0,31.0,1.0,31.0,4.0
2021-02-07,41294.23320871558,34,52.8,1.9,2.0,7.0,1.0,38.0,5.0
2021-02-14,40037.433150751094,34,52.9,2.1,2.0,14.0,1.0,45.0,6.0
2021-02-21,50146.20659901887,37,52.7,2.1,2.0,21.0,1.0,52.0,7.0
2021-02-28,38185.15566213761,30,52.6,1.9,2.0,28.0,1.0,59.0,8.0
2021-03-07,49610.858351856135,33,52.9,2.4,3.0,7.0,1.0,66.0,9.0
2021-03-14,49596.95851372095,37,52.9,2.3,3.0,14.0,1.0,73.0,10.0
2021-03-21,59339.51190493919,38,52.8,2.3,3.0,21.0,1.0,80.0,11.0
2021-03-28,65833.49878486538,45,52.9,2.4,3.0,28.0,1.0,87.0,12.0
2021-04-04,66710.45261941887,45,52.9,2.5,4.0,4.0,2.0,94.0,13.0
2021-04-11,62946.46038791111,42,52.8,2.5,4.0,11.0,2.0,101.0,14.0
2021-04-18,60909.010605820506,43,52.6,2.7,4.0,18.0,2.0,108.0,15.0
2021-04-25,64451.70007693748,51,52.9,2.6,4.0,25.0,2.0,115.0,16.0
2021-05-02,74596.66588802177,54,52.9,2.7,5.0,2.0,2.0,122.0,17.0
2021-05-09,63703.43133803205,53,52.8,2.7,5.0,9.0,2.0,129.0,18.0
2021-05-16,73710.18447744212,56,52.0,2.8,5.0,16.0,2.0,136.0,19.0
2021-05-23,78971.98123890976,57,52.9,2.7,5.0,23.0,2.0,143.0,20.0
2021-05-30,80910.98812926274,61,52.9,2.7,5.0,30.0,2.0,150.0,21.0
2021-06-06,73563.93465184647,60,52.9,2.6,6.0,6.0,2.0,157.0,22.0
2021-06-13,82570.50534424555,55,52.9,2.8,6.0,13.0,2.0,164.0,23.0
2021-06-20,76625.48117369579,55,52.9,2.9,6.0,20.0,2.0,171.0,24.0
2021-06-27,77410.54084690967,50,52.9,3.0,6.0,27.0,2.0,178.0,25.0
2021-07-04,71219.29542460319,49,52.8,2.9,7.0,4.0,3.0,185.0,26.0
2021-07-11,50053.81816417336,33,52.8,2.9,7.0,11.0,3.0,192.0,27.0
2021-07-18,61411.73232365681,37,52.9,3.4,7.0,18.0,3.0,199.0,28.0
2021-07-25,58679.41532528075,39,52.3,3.0,7.0,25.0,3.0,206.0,29.0
2021-08-01,52828.06993071772,36,52.9,3.3,8.0,1.0,3.0,213.0,30.0
2021-08-08,62827.53822947338,37,52.9,2.9,8.0,8.0,3.0,220.0,31.0
2021-08-15,70407.98017273229,40,52.9,3.1,8.0,15.0,3.0,227.0,32.0
2021-08-22,60643.748340138496,36,52.6,2.8,8.0,22.0,3.0,234.0,33.0
2021-08-29,70335.18539592091,48,52.9,3.2,8.0,29.0,3.0,241.0,34.0
